ID,Name,Manufacturer,Country,Min. Speed (Knots),Max Speed (Knots),Min. Endurance (Days),Max. Endurance (Days),Min. Endurance (Hours),Max. Endurance (Hours),Max. Length (m),Full D mensions (L×W×H),Endurance Description,Propulsion,Power,Speed Description,Sensors,Main Application,Comms,Sensor Suite,Communication,Crew Requirement,Certifications,MASS Level,Use Cases,Pros,Cons,Spec Sheet (URL),Source URL,Sources
18,CUSV (Fleet-class),Textron Systems,USA,10,28,1.00,1.00,24.00,24.00,11.9,11.9 m × 3.1 m × 0.7 m,"24+ hours (up to ~1,200 nmi range) ","Twin diesel engines, waterjets (remote/autonomous)","– (Fuel ~300 gal for 1,200 nmi)",~28 kn max; 10 kn cruise,"Navigation radar, EO/IR camera mast; side-scan sonar; mine neutralizer","Mine countermeasures (sweep/hunt), port security, ISR missions","Secure RF line-of-sight, satellite link (SeaLancet, STANAG 4586)","Modular payload bay (14×6×3.5 ft) for sonar, ISR, weapons",Encrypted C2 via common control station; compliant with NATO STANAG 4586,Uncrewed (remote operator control from ship/shore),NATO STANAG 4586 and JAUS compliant; tested up to Sea State 5,3,Mine warfare (minesweeping & neutralization); ISR patrol; rapid payload deployment for ASuW/ASW,High speed and agile; multi-mission modularity; proven in Navy trials,Limited endurance vs larger vessels; reliant on support ship for long transits; fuel-based emissions,[Textron CUSV PDF]naval-technology.comnaval-technology.com,Textron CUSV pagetextronsystems.comtextronsystems.com,Naval Technology profilenaval-technology.comnaval-technology.com; Textron spec sheettextronsystems.comtextronsystems.com
19,C-Worker 15,L3Harris ASV (UK),UK,10,10,21.00,21.00,3.00,3.00,15,~15 m × ~4 m × – (10 m×4 m open deck) ,21 days (transit ~408 nmi @ 12 kn) ,"Twin diesel engines, hybrid-electric drive (azimuth thrusters)",40 kW dedicated for payload; 10 t deck payload  ,~10 kn cruise; 20+ kn sprint (est.),"X-band radar, cameras; multibeam sonar, ROV LARS on deck",Offshore hydrographic and geophysical survey; ROV/AUV launch & ISR,"Redundant comms: VSAT, radio, 4G; remote/autonomous control ",Custom sensor gondola under hull; slots for 19? racks (electronics),Encrypted remote control via ASView; COLREGs-compliant autonomy,Uncrewed (autonomous); optional personnel in development phase,Built to UK MCA Workboat Code Category 0 (unrestricted),3,"Deepwater survey (windfarm, cable route); MCM & naval ISR; long-endurance research",Large payload (20ft container capable); long endurance; fully autonomous launch/recovery systems,Large size (15 t) limits deployment methods; moderate transit speed; new platform (limited track record),[L3Harris Data Sheet]l3harris.comshephardmedia.com,L3Harris C-Worker pagel3harris.coml3harris.com,L3Harris specsshephardmedia.comshephardmedia.com; Shephard Newsshephardmedia.comshephardmedia.com
20,C-Worker 5,L3Harris (ASV Global),UK,7,10,8.00,8.00,3.00,3.00,5.5,5.5 m × 1.8 m × 3.2 m  mast up),4–8 days (depending on speed) ,57 hp diesel inboard + saildrive,57 hp (~42 kW) diesel,10 knots max (5–7 kn cruise),"Solid-state radar (optional Halo 20+), AIS, GPS; 360° daylight/IR cameras","Hydrographic survey, offshore inspection support","COFDM IP mesh radio (LOS ~5 km), 4G LTE, Wi-Fi","Multi-beam echo sounder, ADCP, sub-bottom profiler possible (up to ~40 kg payload)",Pre-programmed autonomous survey lines; remote joystick control override,0 (Uncrewed),“Safety assured” with COLREG-aware autonomy,Level 3 (remote with autopilot and collision avoidance),"Bathymetric mapping, coastal & estuary survey, pipeline inspection, environmental monitoring","Long endurance for size (up to 7–8 days); proven in multi-national operations (15,000+ km surveyed); shallow draft access",Small payload (~40 kg sensor limit) and slow speed; requires calm seas (operational up to Sea State 3),PDF,L3Harris C-Worker 5 page,L3Harris spec sheetl3harris.coml3harris.com (official); Maritime Mag.magazines.marinelink.com (secondary)
21,Devil Ray T38,MARTAC (Maritime Tactical Systems),USA,25,25,?,?,?,?,11.1,11.1 m × N/A × N/  ,“Burst” missions (high-speed); endurance depends on profile (short at max speed),Dual inboard/outboard engines (diesel or gas),Up to ~2× 745 kW (with gas engines) – mission configurable,70–100+ knots burst (cruise ~25 kn),"Navigational radar, day/night cameras; optional ISR sensors or small weapons payloads","High-speed interdiction, swarming attack/ISR, special ops delivery",Secured RF links for line-of-sight; optional 4G/LTE and satellite relay,"Open architecture for plug-and-play payloads (EW, SIGINT, sonar, etc.)",Remote or autonomous control; advanced “sliding” autonomy from full manual to full auto,0 (Uncrewed),N/A (military-grade electronics; shock-tested),Level 3 (operator-directed with autonomous modes),"Swarm ISR and strike, rapid response interception, mine countermeasures, escort duties",Extremely fast (100 knots) and agile; high payload capacity (1.8 t) for its size; robust redundant design,Limited endurance (high fuel use at speed) and short range; requires refuel/recovery after missions; not armed by default (payload dependent),Spec,MARTAC T38 product page,MARTAC spec sheetmartacsystems.commartacsystems.com (official); ArmyRecognitionnavalnews.com (secondary)
22,DriX (H-8),"Exail (formerly iXblue, France)",France,7,15,7.00,10.00,168.00,240.00,7.7,7.7 m × 0.8 m × 2.0 m (draft) ,"7–10 days (up to ~1,000 nmi) ",Diesel engine (inboard) with single propeller,250 L fuel (diesel); <2 t light weightjanes.com,14–15 kn max; 4–7 kn survey speed ,"High-grade INS, GPS; hull-mounted multibeam echosounder gondola, optional ",Autonomous hydrographic survey (deep and shallow water),LOS radio and 4G; optional satcom for over-the-horizon control,"Collision avoidance radar, AIS, lidar; real-time data uplink; optional AUV tracking USBL",Autonomy “CortiX” AI for navigation; remote supervisor monitors via satcom,Uncrewed (monitored by mother ship/shore),Class-certified by BV & Lloyd’s Register,3,Seabed mapping for charts; offshore oil & gas survey; mine countermeasure (sonar sweep) missions,Outstanding seakeeping (operates >Sea State 5); superior data quality (quiet sensor gondola)ccom.unh.edu; cost-saving vs crewed ships,Requires launch/recovery support vessel; moderate speed; limited payload capacity (few hundred kg),[Exail DriX Brochure]exail.comexail.com,Exail DriX H-USV pageexail.comexail.com,Janes reportjanes.comthedefensepost.com; Defense Postjanes.com
23,DriX H-8,Exail (iXblue),France,7,14,10.00,10.00,240.00,240.00,7.7,7.7 m × 0.82 m × 2 m (draft) ,<10 days (240 h) max at 4–7 kn ,38 hp diesel engine driving single propeller,38 hp (~28 kW),13–14 knots max ,"Forward-looking sonar for obstacle avoidance, RTK GPS, INS; typically carries multibeam echo-sounder, sub-bottom profiler, CTD sensors",Autonomous hydrographic survey and oceanography,Radio frequency link (LOS) for telemetry; optional 4G/LTE repeater via mothership,"Survey sensor suite: high-resolution multibeam sonar, side-scan sonar, ADCP; telemetry buoy mode for data ",Autonomous waypoint following with active wave and obstacle avoidance; supervised by mothership or shore center,0 (Uncrewed),Certified by Bureau Veritas (class for unmanned systems) in 2021offshore-energy.biz,Level 4 (fully autonomous survey operations),"Offshore and coastal seabed mapping, naval hydrographic mapping, mine detection (mine countermeasures support), persistent ocean observation",Very stable sensor platform (piercing hull design) yielding high-quality data; long endurance (~10 days) for a small USVdefense.gouv.fr,"Narrow design limits payload weight (?100 kg) and requires careful recovery in high seas; unarmed, specialized for survey tasks",Datasheet,Exail DriX product page,Exail specsexail.comdefense.gouv.fr (official); Nautilus Livenavalnews.com (secondary)
24,DriX H-9,Exail (formerly iXblue/ECA Group),France,13,13,20.00,20.00,480.00,480.00,9,9 m × 0.82 m × (N/A) (slender monohull) ,"< 20 days / 2,000 nm ",1 × diesel engine (approx. 37–50 HP) driving single propeller,"550 L fuel; <span title=""3 kW genset for electronics"">3 kW genset ",< 13 kts,"Video & IR cameras, LiDAR, radar for navigation; payload gondola for sonar (MBES, side-scan), USBL, etc.",Autonomous hydrographic and geophysical surveys; subsea inspection; AUV/ROV tracking and support,"Multi-channel LOS & OTH (Wi-Fi, UHF radio, 4G, satellite)","Swappable sensor gondolas (e.g. multibeam echo-sounder, sub-bottom profiler, etc.) plus situational awareness suite (cameras, LiDAR, radar)",Remote-controlled or supervised autonomous operation (OVH/LOS); redundant comms for beyond-line-of-sight control,0 (uncrewed surface vessel; operated remotely with no onboard crew),Certified by Bureau Veritas (design) and Lloyd’s Register (Unmanned Marine Systems code),3 (Remotely supervised autonomy – can perform missions independently under human supervision),Offshore hydrographic surveying; oceanographic data collection; mine countermeasures (as MCM toolbox component); multi-vehicle missions (acts as comms/navigation relay for AUVs),Excellent seakeeping (operable in >Sea State 5) yielding high data quality; very low fuel consumption (?95% less than conventional survey vessels); low acoustic noise (payload in submerged gondola) for superior sonar performance; containerized deployment (fits in 40? container),Not suited to very shallow water (2 m draft; needs ?4 m depth); requires a dedicated Launch & Recovery System and support vessel for deployment; relatively narrow beam limits deck payload capacity (payloads mainly in gondola/towed),Exail DriX Series Brochureexail.comexail.com,Exail DriX USV Product Pageexail.comexail.com,exail.comexail.comexail.comresearchgate.netgeo-matching.com
25,DriX O-16,Exail (France),France,6,10,30.00,30.00,720.00,720.00,15.75,15.75 m × 1.83 m × 2.55 m ,"30 days (transoceanic ~3,500 nmi)",Dual hybrid diesel-electric (120 kW diesel + 20 kW azimuth thruster),"2,300 L fuel + Li-ion batteries",~10 kn max; 4–6 kn long-range cruise,"Navigation radar, IR cameras, AIS, forward-looking sonar; multi-beam, sub-bottom profiler capable",Ocean-crossing survey and subsea missions; AUV/ROV deployment mother-ship,"Starlink and Iridium Certus satellite, 4G/LTE; redundant comms auto-switching","Full ocean-depth MBES, USBL, scientific sensors; aft deck for winches or towed systems",High-level autonomy (Cortix AI) with obstacle avoidance (sensor fusion); global ROC monitoring,Uncrewed (fully autonomous with remote supervision),Designed for unrestricted navigation (ocean-going class),4,Deep ocean hydrography; long-endurance environmental monitoring; multi-vehicle (AUV/ROV) operations for science or defense,Very long range and endurance; deploys subsea vehicles; advanced autonomy and collision avoidance,Narrow beam limits deck space; slow transit speed; high development and deployment cost,[Exail DriX O-16 Spec]exail.comexail.com,Exail DriX O-16 pageexail.comexail.com,Exail dataexail.comexail.com; Exail featuresexail.comexail.com
26,EGS USV “Fremantle 01”,"EGS Survey Pty (built by Steber/Manor, AU)",Australia,8,14,10.00,10.00,240.00,240.00,12,12.0 m × 2.5 m × 2.8 m,10 days @ 5–7 kn ,Single inboard diesel (110 hp) + shaft prop; gyro stabilizer,"2,050 L fuel; 5.5 kW diesel  ",14 kn sprint; 8 kn survey  ,"Dual-head Kongsberg multibeam, retractable keel gondola; INS, GNSS",Hydrographic & geophysical surveys (coastal/offshore); optionally crewed workboat,IP-based comms (radio LOS & satellite) via Greenroom “GAMA” system,"Autonomy software (COLREGs-aware); cameras, radar for 360° awareness","Remote and autonomous modes (90% unmanned, 10% manned)",None (0 onboard; can carry crew if needed),AMSA-compliant COLREGs autonomy; built to commercial survey standards,3,"Seabed mapping (ports, cables); shallow-water geophysical survey; persistent 24/7 survey ops without crew",“Best of both worlds” – unmanned 24h ops or crewed as needed; high survey data quality (stable gondola),"Limited range (~2,000 nmi); dependent on shore/base for ocean crossing; first of type (new platform)",[EGS USV Specs]egssurvey.com.auegssurvey.com.au,EGS Fremantle USV pageegssurvey.com.auegssurvey.com.au,EGS tech descriptionegssurvey.com.auegssurvey.com.au; Kongsberg articlekongsberg.comkongsberg.com
27,Halcyon USV,Thales UK (with L3Harris ASV),UK,30,30,0.67,0.67,16.00,16.00,11.5,~11.5 m × 3.5 m × (N/A) (glass?reinforced plastic hull) ,> 16 hours (mine-hunting operations) ,2 × Yanmar 6LY-ETP 480 HP diesel inboards + waterjets,2 × diesel (480 HP each); battery for comms/control (optional),> 30 kts ,"Towed Synthetic Aperture Sonar (Thales T-SAS); obstacle avoidance radar, video cameras (for remote navigation); optional minesweeping payloads, mine neutralization ROVs",Mine Countermeasures (stand-off mine-hunting and sweeping) – deploys/tows mine-detection sonars and neutralization systems without risking manned,Encrypted line-of-sight radio link (for remote control from mothership or shore); optional long-range comms integration (if needed for OTH),"Thales ASView control system; integrated navigation sensors (GPS/INS); supports payload integration (towed sonars, UUVs, sweep gear)",Remotely operated (and supervised); optionally manned (has provision for onboard operation during trials),0 (uncrewed in operational use; can be crewed for testing or if required),– (Designed to comply with COLREGs and naval safety standards; first UK/French MMCM program USV),3 (Remotely controlled with autonomous navigation features – human onshore/operator in the loop),Mine hunting (towing high-performance SAS sonar); mine sweeping (deploying influence sweep systems); mine neutralization (ROV/UUV launch and recovery); rapid environmental assessment and underwater survey in hostile areas,"High speed transit (30 knots) for quick deployment; robust MCM platform with payload flexibility (supports towed sonars, UUVs, and sweep gear); proven in Royal Navy trials (successful remote mine-hunting demos); optionally manned for safety and versatility in operations",Limited endurance compared to fully autonomous vessels (mission duration constrained by fuel consumption); reliance on support platforms for deployment (needs a mothership or land base for launch/recovery); large size (12 m) and twin engines increase operational costs and maintenance demands,No public spec sheet (Thales MCM USV),Thales Group – Halcyon USV (Mine-hunting USV news)thalesgroup.comthalesgroup.com,thalesgroup.commilitaryembedded.comthalesgroup.com
28,HydroBoat 1200 USV,SatLab Geosolutions AB,Sweden,11.6,11.6,0.33,0.33,8.00,8.00,1.229,1.229 m × 0.600 m × 0.438 mu ,~7–8 hours @ 1.5 m/s (40 km range) ,"Twin electric thrusters, Li-ion battery (compact)",Li-ion battery (1000 W consumption),0.1–6 m/s (0.2–11.6 kn),"GNSS RTK, single-beam echosounder, 360° camera, IMU, radar","Hydrographic survey, environmental monitoring",Wi-Fi; 4G/LTE; radio line-of-sight,"SBES (200 kHz) ±0.01 m accuracy; GNSS RTK, multi-parameter probes",Remote control and autonomous waypoint mode (via RF/4G),Uncrewed (operated from shore),–,MASS 3 (remote with autopilot),"Bathymetry, current measurement, water qualitysatlab.com.se",Lightweight & easily handled; high-precision sensors; good stabilitysatlab.com.se,Short mission duration; limited sea-state tolerance (for calm waters only),unmannedsystemstechnology.com (Spec sheet),SatLab HydroBoat 1200 page,unmannedsystemstechnology.comunmannedsystemstechnology.com
29,HydroBoat 1500 USV,SatLab Geosolutions AB,Sweden,12,12,0.42,0.42,10.00,10.00,1.5,~1.5 m length (portable cat maran  (detailed d ms N/A),"~8–10 hours (battery endurance, mission-dependent) ","Quad electric thrusters, enhanced Li-ion power (heavy payload capable)",Li-ion battery bank (extended capacity),Up to ~6 m/s (est. 12 kn) – high thrust for currents,"GNSS RTK, multibeam sonar capable, ADCP, cameras, radar","Hydrographic surveys in lakes/rivers, seabed mapping",Wi-Fi; cellular; radio control,"Multibeam echosounder option (Norbit/other), ADCP, water quality sensors",Remote/autonomous (preprogrammed survey lines with RF/4G link),Uncrewed (no onboard crew; one operator remotely),–,MASS 3 (autonomy with remote oversight),"Underwater topography, reservoir surveys, dredging support",Versatile sensor payload (80 kg); robust quad-thruster for strong currents,Limited by battery life; operation constrained to nearshore (line-of-sight or comm range),–,SatLab HydroBoat 1500 info,UST announcement (SatLab)
30,HydroBoat 990 USV,SatLab Geosolutions AB,Sweden,11.6,11.6,0.42,0.42,10.00,10.00,1.035,1.035 m × 0.560 m × 0.345 mu ,10 hours @ 1.5 m/s (approx. 5.4 km/h) ,"Dual electric thrusters, Li-ion battery (portable)","Li-ion battery (integrated, rechargeable)",Max 6 m/s (?11.6 kn),"GNSS receiver, single-beam echosounder, IMU, radar","Bathymetric surveys, hydrography",Radio controller; 4G/LTE; optional satellite,"SBES (200?kHz) depth sensor, ADCP, cameras","Remote/autonomous (pre-programmed routes, monitored via RF/4G)",Uncrewed (0 onboard; one operator remote),–,MASS 3 (remote with auto-navigation),Inland/coastal mapping; environmental monitoring,Highly portable; stable catamaran hull; easy deployment,Limited endurance and range; small payload capacity for sensors,–,SatLab HydroBoat 990 page,UST product spec (SatLab)
31,HydroCat-550,"Seafloor Systems, Inc.",USA,?,?,0.06,0.75,1.50,18.00,5.5,5.5 m × 2.5 m × 2.3 m ,4–18 h (survey speed) or ~1.5 h at max speed ,Dual electric outboards (Torqeedo motors); 4 × battery packs ,Max 12 kn; 2.5–4 kn survey ,"Onboard industrial PC; optional sensors (camera, AIS, nav aids) ","Lithium-ion battery system (4 × standard, expandable):contentReference[oaicite:29]{index=29}",Autonomous hydrographic survey in coastal/offshore (up to sea state 5):contentReference[oaicite:30]{index=30},Wi-Fi data link (5.8?GHz) ,"High-resolution sonar suites (multibeam, side-scan, etc.), water quality sensors ",Line-of-sight control (~2 km); no BLOS by default,0 (uncrewed; remote supervision),N/A,Level 3 (autonomous with remote monitoring),"Surveys of large lakes, ports, estuaries, nearshore & offshore mapping ",Fast (12 kn) and ocean-capable (sea state 5) ,Very large platform (5.5 m) requiring trailer; limited comms to LOS; short endurance at max speed ,N/A,https://www.seafloorsystems.com/hydrocat-550,:contentReference[oaicite:38]{index=38}; :contentReference[oaicite:39]{index=39}; :contentReference[oaicite:40]{index=40}
32,HydroSurv REAV-28,HydroSurv UK,UK,5,10,3.00,3.00,12.00,12.00,2.8,2.8 m (cat maran hull) ,~8–12 hours (fully electric) (portable) ,Twin electric outboards (5 kW each); swappable battery modules,12 kW Li-ion battery pack (option for generator on larger models),~5 kn survey; 10 kn max (est.),Multibeam echosounder (WASSP or Norbit); SVP winch; cameras,"Bathymetric mapping for dredging, construction & habitat surveygeosight3d.com",UHF/VHF line-of-sight; optional 4G router (short-range ops),"Autopilot (Dynautics Spectre); GPS, IMU; remote telemetry link",Uncrewed (2-person team handles launch/recovery),– (CE marked; operates in ?1.5 m waves)scribd.comgeosight3d.com,3,Nearshore hydrography; environmental monitoring (inland/coastal); cost-efficient dredge surveysgeosight3d.com,Zero-emission battery drive; beach-launchable by 2 people; low-cost operation ,Limited endurance per charge; constrained to benign sea states; smaller sensor payload capacity,[HydroSurv REAV-28 Sheet] ,HydroSurv press releasegeosight3d.comgeosight3d.com,GEOSIGHT announcementgeosight3d.comgeosight3d.com; UST newsunmannedsystemstechnology.com,
33,Inspector 125,Exail (ECA Group),France,3,25,1.67,1.67,40.00,40.00,12.3,12.3 m × 4.2 m × 3.8 m (LOA×be m×height) ,40 hours @ 7 kts (up to ~170 nm),2 × inboard diesel engines (twin screws or waterjets; redundant propulsion),4 × 2.5 kW generators; 825 Ah batteries (for hotel loads & backup),25 kts max; 3–20 kts typical,"Navigation radar, EO/IR camera, mine avoidance sonar (optional); launch & recovery systems for AUVs (A18-M) and towed sonars (T18); deployable ROVs (2 × SEASCAN) and 4 × K-STER mine neutralizers","Autonomous mine countermeasures (mine detection, identification, neutralization) – serves as stand-off MCM vessel carrying sonars, mine-hunting AUVs and ROVs",Encrypted LOS radio (up to ~12 nm range); optional 4G/LTE and satcom integration for extended range,"Comprehensive UMISOFT C2 suite for mission planning, real-time control & data processing; multi-drone interoperability (AUVs, ROVs, UAVs integration)","Remote or autonomous operation (GNSS waypoint navigation, station-keeping); optional manned mode for high sea states",0 (unmanned; operated from remote MCM command center – can accommodate crew in manned mode if needed),"Non-magnetic, shock-resistant design for mine warfare (unsinkable foam-filled hull); IMO Lloyd’s Register Unmanned Marine Systems certified (in progress)",3 (Advanced autonomous control with human supervision; capable of GPS waypoint autonomy and remote teleoperation),Mine clearance operations (stand-off); detection & classification of naval mines (with towed SAS or AUV sonar); identification & neutralization of mines (deploys ROVs and expendable charges); maritime security patrols and route surveying in hostile waters,Long endurance for an USV (?40 h) allowing multi-day missions; high payload capacity (2.5 t deck payload) for multiple MCM systems; robust and unsinkable (foam-filled hull for mine blast survivability); fully autonomous MCM capability keeps human crews out of danger,Heavy and large (?18 tons full load) – requires adequate launch/recovery infrastructure (crane or well-deck); limited remote control range (~12 nm over LOS link) without relay or satcom; relatively complex system with multiple payloads (higher maintenance and training requirements),Inspector 125 Datasheet (Exail)exail.comexail.com,Exail Inspector 125 Product Pageexail.comexail.com,exail.comexail.comexail.comexail.com
34,JARI USV (Multi-purpose Combat Boat),CSSC Huangpu Wenchong,China,42,42,?,?,?,?,15,15 m × 4.8 m × 1.8 m ,~500 nmi range (~925 km) ,Single diesel engine with waterjet ,N/A (~800 hp est.),42 knots max ,"Phased-array radar, variable-depth sonar, EO/IR sensor suitethedefensepost.com; datalink for UAV control; AIS","Multi-role combat (ASuW, AAW, ASW) in littorals",Secure radio and satellite comms for remote control ,"Full combat suite: 30 mm autocannon, SAM/ASM vertical-launch missiles, lightweight ",Remote or autonomous networked operation; AI for target recognition and swarm  ,0 (Uncrewed),Builder’s trials; designed to PLA Navy specs (no crew spaces),Level 4 (autonomous combat with human authorization),"Anti-ship and anti-aircraft engagements, anti-submarine patrol (with dipping sonar & torpedoes), swarm operations with UAV support","High firepower – missiles, gun and torpedoes on a 20 t platformthedefensepost.com; autonomous swarm capability under  ",Unproven in real combat (still testing); likely high cost per unit; needs robust C3 for targeting beyond horizon,Fact Sheet,Defense Post article,CSIC specsthedefensepost.comthedefensepost.com (official/press); DefensePostthedefensepost.comthedefensepost.com (secondary)
35,M40 Autonomous USV,OceanAlpha Co.,China,7,7,0.25,0.25,6.00,6.00,3.5,3.5 m × 1.85 m × 1.8 m  ,6 hours @ 4–5?kn survey speed ,"Twin electric propellers, lithium-polymer batteries",High-capacity LiPo battery (several kWh),Max 7 knots,"Swappable payload bay (60?kg): single or multibeam sonar, LiDAR, ADCP, side-scan, water quality sensor","Coastal hydrographic survey, bathymetry",UHF/VHF radio; 4G/LTE; optional satellite link,"Multi-sonar suite, cameras, collision-avoidance radar/laser",Remote-controlled or autonomous (GPS waypoint navigation),Uncrewed (shore-based control station),–,MASS 3 (semi-autonomous with remote),"Bathymetry mapping, harbor and coastal surveys",Stable catamaran design; modular sensor bay; low noise for data quality,Limited endurance (6 h); restricted to relatively calm waters for best performance,unmannedsystemstechnology.com (Spec),OceanAlpha M40 specs (UST),unmannedsystemstechnology.comunmannedsystemstechnology.com
36,Marlin USV,Sefine/TAIS Shipyards + Aselsan,Turkey,19,45,7.00,7.00,168.00,168.00,15,15 m × 4 m × 0.8 m ,"7 days (?1,000 nmi range) ",2× diesel engines + waterjets (or azimuth drives),– (>4 ton payload capacity),>45 knots max; ~19 kn cruise,"Surveillance radar, EO/IR sensors; ESM; optional sonar",Armed unmanned combat vessel – anti-surface and ASW missions,"Satcom (broadband & narrowband), 4G/LTE, RF links","Modular mission payloads: up to 20–40 SSM missiles, 4 torpedoes; RCWS gun",Secure remote C2; can operate autonomously in cooperation with manned units,Uncrewed (remote operators x2 from shore/ship),Military standards (DNV naval design; combat-tested in NATO exercises),3,Anti-surface warfare (missile strikes); anti-submarine (torpedo) patrol; electronic warfare; high-speed interdiction,"High speed and maneuverability; heavy weapons payload; multi-mission (ASuW, ASW, EW) capable",Requires robust comms for weapons release; high cost and complexity; potential vulnerability when unmanned in combat,[TAIS Marlin Spec]taisshipyards.comtaisshipyards.com,TAIS brochuretaisshipyards.comtaisshipyards.com,TAIS spec sheettaisshipyards.comtaisshipyards.com; Naval Newsgovconexec.commc.nato.int
37,Oceanus 12,"Zero USV (Manor Marine, UK)",UK,6,6,30.00,30.00,720.00,720.00,12,12 m × ~2.2 m × ~? m (est.),~30 days (transoceanic range) (est.),Hybrid diesel-electric (planned net-zero emissions),– (Marine AI autonomous system onboard),~6 kn cruise (endurance mode),"Navigation radar, AIS, cameras; multibeam sonar payload",Long-endurance geophysical survey; offshore renewable (wind farm) ,"VSAT satellite, 4G LTE; remote ops via Marine AI “Guardian”",AI-driven COLREGs avoidance; Mayflower MAS autonomy softwarelinkedin.com,Fully autonomous (remote monitoring only),– (In process of class certification; charter fleet operation),4,"Charter USV for offshore survey, ocean data collection, environmental monitoringlinkedin.comturnchapelwharf.com",Sustainable focus (aiming for zero-emission); multi-week deployment; autonomous navigation proven in MAS projectlinkedin.comturnchapelwharf.com,New platform (limited service record); moderate speed only; reliant on comms for oversight,(Spec sheet not public),Zero USV newsturnchapelwharf.comturnchapelwharf.com,Turnchapel Wharf newsturnchapelwharf.comturnchapelwharf.com; LinkedIn updatelinkedin.cominstagram.com,
